000555,"55a37bf865ce5cd7b3ac5731,55a43d30c91b587b09731dfd,55a59b19612c6b12ab25f895"
0013df,"55a3f418c91b587b096801b6,55a4f8d1c91bf3b1cc4b75a9,55a6031965cead59c8328a67"
001f79,"55a4252d612ca648688867f4,55a5789924012c2a3925a0c3,55a3a549c91b587b095dec3d"
003f77,"55a42adc612ca6486889e7e8,55a4328dc91b587b0970a6cf,55a40c7665ce5cd7b3c1e18b"
004ae6,"5a1a45110cf2de1fffdbde97,5c136523da56295a089c5280,55a37d91c91b587b0958d5df"
00652b,"5c136503da56295a089c415c,55a3bf5165ce5cd7b3b59874,55a49d7cc91bf3b1cc409af6"
007a02,"55a5f1ce2401defa0dab6a54,5c0f75beda562944ac6dd74a,5645ee7c0cf23363c3b40378"
008441,"554ebebc0cf28d26f614bd34,55a49c7fc91bf3b1cc40576b,55a4431ec91b587b09744125"
0092ff,"55a49b2d240103289976b552,5d15e7763a55ac9dbf27ae92,5cf39e5f3a55aca1c4cb02e6"
00a3d7,"55a4bc3824011b361acb7f3a,55a40aa565ce5cd7b3c17823,55a670e865ce054aad67ff90"
00bae2,"5c13639eda56295a089a43c4,55a41676612ca64868856a9c,570b16180cf2566429554849"
00c7ac,"5724cf330cf2952b60b72fab,5d29b0f63a55ac32e64d05cf,5c0f8a0bda562944ac9a53f4"
00d3bf,"55a4237f612ca64868881045,55a3d29bc91b587b0963961e,55a57e9d612c6b12ab1eb535"
00e185,"55a413742401c6de3b80ef02,55a6ad8d65ce054aad70d236,55a47d4c65ce31bc877cbed5"
00f2bd,"55a424bc2401c6de3b849722,5c136732da56295a089f643c,5d382edf275ded87f97b7e6c"
00fd39,"55a5e89065cead59c82f3a08,5c13632dda56295a08998430,5548d1400cf262a827c03d40"
01081d,"5c136b55da56295a08a70233,55a556a824012c2a391d6266,5c136728da56295a089f4a5e"
011c4d,"55a4197165ce5cd7b3c42559,5d32f0f73a55acb9785e0375,5d0b5a243a55accdb06fe5e1"
012e5d,"5c0f759bda562944ac6d9f7f,55a4d74b65ceb7cb02d9b15b,55a3a2e3c91b587b095d79cf"
0141fa,"55a5dce0612c6b12ab2fc247,55a3a64465ce5cd7b3b2c246,5c3b4f913a55ac7debb13670"
014a53,"55a6554f612ca6eebaad4649,55a53df124012c2a3917658c,55a49175240103289974cac5"
015609,"55a4c1d124011b361acc40b9,55a3a9f965ce5cd7b3b33b91,55a4a03d65ceb7cb02d48e85"
016651,"55a500b9612c6b12ab011375,5c0f9195da562944aca9ce66,5c2ab2f73a55ac6e73722eeb"
017a23,"55a5443724012c2a3918c510,55a422a62401c6de3b842717,5c1360e4da56295a08972be0"
018c58,"55a3c7242401c6de3b735e26,55a4b8e124011b361acaff89,55a3fafb2401c6de3b7cea88"
019f58,"55a53454c91bf3b1cc51aa5f,55a436e12401c6de3b88f14c,55a43f112401c6de3b8aaa95"
01aeb8,"55a5381965ceb7cb02e4e0ee,55a56e5b612c6b12ab1a283a,55a38816c91b587b095a1e0e"
01bbbc,"55a6ca6965ce054aad75eb4d,55a3e8f2c91b587b09666dc2,5c7f9a5ee1cd8e08659f5b0a"
01c968,"5c136105da56295a08974b7b,5c0f726eda562944ac65f3e6,55a53bd265ceb7cb02e54bd4"
01d4df,"55a4de2e612c6b12aafc29d8,55a3559b612ca64868697ade,55a3a92d612ca6486874aee5"
01e66a,"55a5479b612c6b12ab0d7beb,55a5474224012c2a391976e5,55a5f98f2401defa0dacaae7"
01f6f5,"55a3ee9fc91b587b09673d32,55a44cf6612ca6486890dfd6,55a35473612ca64868694360"
0210a3,"55a46ef52401bde6691d3da6,55a4b94ec91bf3b1cc450f44,55a4afbd612ca64868a01f3e"
021ffb,"55a4ae99612ca648689ff860,55a43be9612ca648688d2828,5c1366abda56295a089e69e5"
0229ca,"55a53c4e24012c2a39170d62,57feebc30cf2e01f8866bd25,55a4dadf65ceb7cb02da2bdb"
023edb,"55a4a57665ceb7cb02d52f5a,55a5e2d1612c6b12ab30afb2,55a3e82ec91b587b09666863"
0257b5,"5c0f8a66da562944ac9b180b,5d0f515b3a55ac25739f58fe,55a4600565ce31bc877888f1"
026719,"55a3d7f765ce5cd7b3b9abe6,5c0f7c6fda562944ac7d380d,5d2ef6033a55acf76f16a56a"
026ff0,"5c0f7455da562944ac6aa72e,55a6cefa65ce054aad76b3fe,5c0f7467da562944ac6ac1dd"
027bda,"55a470a2612ca64868969910,55a3d2402401c6de3b75630b,5a29f9590cf297137335a2b0"
028c8f,"55a612af240199498b972b5a,55a55c0c65ceb7cb02e980db,55a5131f65ceb7cb02e007a7"
